total_dist_move,total_dwell_time,num_temp_checks,num_purges,num_unretract,num_lines_gcode,total_dist_print,num_fan_off,num_retract,num_bytes_gcode,filename,total_length_extruded,num_redundant_lines,num_lines_comment,num_fan_on,num_temp_changes,naive_print_time,total_temp_increment,num_lines_move,total_temp_decrement
54266.50768,0.075,5,3,212,10255,22649.92987,7,214,270963,gcode/2016/11/19/Y_10_reoriented.gcode,1632.217181,10,289,20,5,998.658439,220,8361,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/06/NVlogo-Whistle-positive-X2_BmM5J10_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
292863.1849,0.104,5,3,775,90818,227097.4115,7,777,2586626,gcode/2016/06/16/bottom_slot_rotator_prongs_reoriented_sJu0i0z.gcode,6736.844927,26,316,376,5,9561.648467,220,83755,220
27658.89211,0.021,5,3,144,4540,11714.26666,7,146,116723,gcode/2016/08/14/Ukulele_Nut_reoriented.gcode,1019.466931,11,233,17,5,408.4851372,220,3566,220
672184.8535,0.059,5,3,6588,532547,521776.4734,62,6590,14992100,gcode/2016/10/04/terrific_allis-amberis_reoriented.gcode,13257.45916,2871,271,56,5,48554.30579,220,477582,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/11/01/NVlogo-Whistle-positive-X2_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
1280869.759,0.292,5,3,1953,216035,1072055.484,155,1955,6041395,gcode/2016/06/21/vujifilm_reoriented.gcode,25994.63444,31,504,341,5,25768.8549,220,191994,220
568808.6308,0.709,5,3,3718,130377,297061.1776,8,3720,3599750,gcode/2016/09/30/greenChar_431MsOw_reoriented.gcode,7767.061326,164,921,413,5,10927.91903,220,109083,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_u50Bygo.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/20/NVlogo-Whistle-positive-X2_e801SQa_reoriented_jq56XDV.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_zZobmyp_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/07/18/NVlogo-Whistle-positive-X2_Rm3CwHR_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
327279.0201,0.043,5,3,222,47431,274218.3262,16,224,1315675,gcode/2016/09/28/Square_reoriented_xmt6q3F.gcode,11534.2273,11,255,16,5,3893.633743,220,42927,220
539789.59,0.641,5,3,1832,109239,297240.7176,8,1834,3017737,gcode/2016/07/14/Ukulele_Headstock_7sYZVOx_reoriented.gcode,7404.603522,126,853,220,5,9439.194872,220,92418,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/07/20/NVlogo-Whistle-positive-X2_udOvY5z_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/10/19/NVlogo-Whistle-positive-X2_e801SQa_reoriented_Tr0iOQ9.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
267936.4576,0.075,5,3,286,23926,210702.5859,16,288,652393,gcode/2016/12/05/PAE1_Y_200_reoriented_9bFaxT5.gcode,10309.09965,21,289,31,5,3187.030166,220,20854,220
140950.1564,0.067,5,3,588,48554,101965.2671,7,590,1361963,gcode/2016/09/20/NVlogo-Whistle-positive-X2_uu6ykNV_reoriented.gcode,5388.145018,193,281,184,5,5159.806677,220,43376,220
2311035.146,1.013,5,3,3708,365366,1825973.027,58,3710,10099508,gcode/2016/09/29/Tool_Cover_reoriented.gcode,41378.86268,280,1225,847,5,51496.75475,220,321179,220
